intent,precision,recall,f1-score,support,classifier,encoding
wemo_on,0.1637931034482758,0.2375,0.1938775510204081,80.0,GaussianNB,tfidf
addcontact,0.7605633802816901,0.6067415730337079,0.675,89.0,RandomForestClassifier,tfidf
audiobook,0.9096045197740112,0.6736401673640168,0.7740384615384617,239.0,RandomForestClassifier,tfidf
cleaning,0.8457142857142858,0.8604651162790697,0.8530259365994236,172.0,RandomForestClassifier,tfidf
coffee,0.9057591623036648,0.8737373737373737,0.8894601542416452,198.0,RandomForestClassifier,tfidf
convert,0.88,0.4536082474226804,0.5986394557823129,97.0,RandomForestClassifier,tfidf
createoradd,0.7483443708609272,0.7687074829931972,0.7583892617449663,294.0,RandomForestClassifier,tfidf
currency,0.8772378516624041,0.9074074074074074,0.8920676202860858,378.0,RandomForestClassifier,tfidf
definition,0.6528662420382165,0.8134920634920635,0.7243816254416962,504.0,RandomForestClassifier,tfidf
dislikeness,0.375,0.12,0.1818181818181818,25.0,RandomForestClassifier,tfidf
events,0.7307692307692307,0.3540372670807453,0.4769874476987448,322.0,RandomForestClassifier,tfidf
factoid,0.6393910561370124,0.6387832699619772,0.6390870185449359,1052.0,RandomForestClassifier,tfidf
game,0.8722222222222222,0.6709401709401709,0.7584541062801932,234.0,RandomForestClassifier,tfidf
greet,0.6428571428571429,0.375,0.4736842105263159,24.0,RandomForestClassifier,tfidf
hue_lightchange,0.8080357142857143,0.8080357142857143,0.8080357142857142,224.0,RandomForestClassifier,tfidf
hue_lightdim,0.8349514563106796,0.6825396825396826,0.7510917030567686,126.0,RandomForestClassifier,tfidf
hue_lightoff,0.8537549407114624,0.8780487804878049,0.8657314629258518,246.0,RandomForestClassifier,tfidf
hue_lighton,0.7142857142857143,0.5263157894736842,0.6060606060606061,38.0,RandomForestClassifier,tfidf
hue_lightup,0.75,0.823943661971831,0.785234899328859,142.0,RandomForestClassifier,tfidf
joke,0.9272727272727272,0.8360655737704918,0.8793103448275862,122.0,RandomForestClassifier,tfidf
likeness,0.7333333333333333,0.4313725490196078,0.54320987654321,204.0,RandomForestClassifier,tfidf
locations,0.7516339869281046,0.44921875,0.5623471882640586,256.0,RandomForestClassifier,tfidf
maths,0.8686868686868687,0.5341614906832298,0.6615384615384615,161.0,RandomForestClassifier,tfidf
movies,0.7962962962962963,0.3839285714285714,0.5180722891566265,112.0,RandomForestClassifier,tfidf
music,0.6617192331478046,0.8901830282861897,0.7591344448385954,1202.0,RandomForestClassifier,tfidf
order,0.768361581920904,0.6834170854271356,0.723404255319149,199.0,RandomForestClassifier,tfidf
podcasts,0.9498432601880876,0.8015873015873016,0.8694404591104734,378.0,RandomForestClassifier,tfidf
post,0.8952772073921971,0.8059149722735675,0.8482490272373541,541.0,RandomForestClassifier,tfidf
query,0.6991596638655462,0.8388506133422954,0.76266137040715,5951.0,RandomForestClassifier,tfidf
querycontact,0.7413793103448276,0.3891402714932127,0.510385756676558,221.0,RandomForestClassifier,tfidf
quirky,0.482824427480916,0.2393566698202459,0.3200506008855155,1057.0,RandomForestClassifier,tfidf
radio,0.8674948240165632,0.7618181818181818,0.8112294288480156,550.0,RandomForestClassifier,tfidf
recipe,0.821875,0.6368038740920097,0.7175989085948158,413.0,RandomForestClassifier,tfidf
remove,0.908695652173913,0.8495934959349594,0.8781512605042018,984.0,RandomForestClassifier,tfidf
sendemail,0.695356738391846,0.8911465892597968,0.7811704834605598,689.0,RandomForestClassifier,tfidf
set,0.8352402745995423,0.842469705712637,0.8388394139615053,1733.0,RandomForestClassifier,tfidf
settings,0.7333333333333333,0.275,0.4,80.0,RandomForestClassifier,tfidf
stock,0.9502262443438914,0.7777777777777778,0.855397148676171,270.0,RandomForestClassifier,tfidf
taxi,0.9565217391304348,0.8369565217391305,0.8927536231884058,184.0,RandomForestClassifier,tfidf
ticket,0.8368200836820083,0.8368200836820083,0.8368200836820082,239.0,RandomForestClassifier,tfidf
traffic,0.9683544303797468,0.765,0.8547486033519555,200.0,RandomForestClassifier,tfidf
volume_down,0.6666666666666666,0.6052631578947368,0.6344827586206896,76.0,RandomForestClassifier,tfidf
volume_mute,0.8709677419354839,0.6625766871165644,0.7526132404181185,163.0,RandomForestClassifier,tfidf
volume_other,0.75,0.25,0.375,24.0,RandomForestClassifier,tfidf
volume_up,0.8045112781954887,0.7430555555555556,0.7725631768953068,144.0,RandomForestClassifier,tfidf
wemo_off,0.84375,0.826530612244898,0.8350515463917526,98.0,RandomForestClassifier,tfidf
wemo_on,0.8088235294117647,0.6875,0.7432432432432432,80.0,RandomForestClassifier,tfidf
addcontact,0.7162162162162162,0.5955056179775281,0.6503067484662577,89.0,DecisionTreeClassifier,tfidf
audiobook,0.7120418848167539,0.5690376569037657,0.6325581395348837,239.0,DecisionTreeClassifier,tfidf
cleaning,0.8758620689655172,0.7383720930232558,0.8012618296529967,172.0,DecisionTreeClassifier,tfidf
coffee,0.8724489795918368,0.8636363636363636,0.868020304568528,198.0,DecisionTreeClassifier,tfidf
convert,0.696969696969697,0.4742268041237113,0.5644171779141105,97.0,DecisionTreeClassifier,tfidf
createoradd,0.6164772727272727,0.7380952380952381,0.6718266253869969,294.0,DecisionTreeClassifier,tfidf
currency,0.827027027027027,0.8095238095238095,0.8181818181818181,378.0,DecisionTreeClassifier,tfidf
definition,0.4445812807881773,0.7162698412698413,0.5486322188449848,504.0,DecisionTreeClassifier,tfidf
dislikeness,0.1304347826086956,0.12,0.1249999999999999,25.0,DecisionTreeClassifier,tfidf
events,0.3855799373040752,0.3819875776397515,0.3837753510140405,322.0,DecisionTreeClassifier,tfidf
factoid,0.4483606557377049,0.5199619771863118,0.4815140845070422,1052.0,DecisionTreeClassifier,tfidf
game,0.6853448275862069,0.6794871794871795,0.6824034334763948,234.0,DecisionTreeClassifier,tfidf
greet,0.5555555555555556,0.4166666666666667,0.4761904761904762,24.0,DecisionTreeClassifier,tfidf
hue_lightchange,0.6846846846846847,0.6785714285714286,0.6816143497757848,224.0,DecisionTreeClassifier,tfidf
hue_lightdim,0.7217391304347827,0.6587301587301587,0.6887966804979253,126.0,DecisionTreeClassifier,tfidf
hue_lightoff,0.8553719008264463,0.8414634146341463,0.8483606557377049,246.0,DecisionTreeClassifier,tfidf
hue_lighton,0.5128205128205128,0.5263157894736842,0.5194805194805194,38.0,DecisionTreeClassifier,tfidf
hue_lightup,0.609271523178808,0.647887323943662,0.6279863481228669,142.0,DecisionTreeClassifier,tfidf
joke,0.8584070796460177,0.7950819672131147,0.825531914893617,122.0,DecisionTreeClassifier,tfidf
likeness,0.4457142857142857,0.3823529411764705,0.4116094986807387,204.0,DecisionTreeClassifier,tfidf
locations,0.4605263157894737,0.41015625,0.4338842975206611,256.0,DecisionTreeClassifier,tfidf
maths,0.5299145299145299,0.3850931677018633,0.4460431654676259,161.0,DecisionTreeClassifier,tfidf
movies,0.4845360824742268,0.4196428571428571,0.4497607655502392,112.0,DecisionTreeClassifier,tfidf
music,0.7031363967906638,0.8019966722129783,0.7493198600855032,1202.0,DecisionTreeClassifier,tfidf
order,0.6507936507936508,0.6180904522613065,0.634020618556701,199.0,DecisionTreeClassifier,tfidf
podcasts,0.8710601719197708,0.8042328042328042,0.8363136176066025,378.0,DecisionTreeClassifier,tfidf
post,0.7580340264650284,0.7412199630314233,0.7495327102803737,541.0,DecisionTreeClassifier,tfidf
query,0.6997162114224903,0.6629137960006721,0.680818017085167,5951.0,DecisionTreeClassifier,tfidf
querycontact,0.3514644351464435,0.3800904977375565,0.3652173913043478,221.0,DecisionTreeClassifier,tfidf
quirky,0.2814070351758794,0.2649006622516556,0.2729044834307992,1057.0,DecisionTreeClassifier,tfidf
radio,0.7745664739884393,0.730909090909091,0.7521047708138447,550.0,DecisionTreeClassifier,tfidf
recipe,0.6186868686868687,0.5932203389830508,0.6056860321384425,413.0,DecisionTreeClassifier,tfidf
remove,0.860813704496788,0.8170731707317073,0.8383733055265902,984.0,DecisionTreeClassifier,tfidf
sendemail,0.691764705882353,0.8534107402031931,0.7641325536062378,689.0,DecisionTreeClassifier,tfidf
set,0.7667248400232693,0.760530871321408,0.7636152954808807,1733.0,DecisionTreeClassifier,tfidf
settings,0.3703703703703703,0.375,0.3726708074534162,80.0,DecisionTreeClassifier,tfidf
stock,0.8938053097345132,0.7481481481481481,0.814516129032258,270.0,DecisionTreeClassifier,tfidf
taxi,0.8837209302325582,0.8260869565217391,0.853932584269663,184.0,DecisionTreeClassifier,tfidf
ticket,0.7686274509803922,0.8200836820083682,0.7935222672064778,239.0,DecisionTreeClassifier,tfidf
traffic,0.7948717948717948,0.775,0.7848101265822786,200.0,DecisionTreeClassifier,tfidf
volume_down,0.6571428571428571,0.6052631578947368,0.6301369863013698,76.0,DecisionTreeClassifier,tfidf
volume_mute,0.6086956521739131,0.6012269938650306,0.6049382716049382,163.0,DecisionTreeClassifier,tfidf
volume_other,0.6153846153846154,0.3333333333333333,0.4324324324324324,24.0,DecisionTreeClassifier,tfidf
volume_up,0.6764705882352942,0.6388888888888888,0.6571428571428571,144.0,DecisionTreeClassifier,tfidf
wemo_off,0.6636363636363637,0.7448979591836735,0.7019230769230769,98.0,DecisionTreeClassifier,tfidf
wemo_on,0.704225352112676,0.625,0.662251655629139,80.0,DecisionTreeClassifier,tfidf
addcontact,0.6086956521739131,0.3146067415730337,0.4148148148148148,89.0,AdaBoostClassifier,tfidf
audiobook,0.5714285714285714,0.0167364016736401,0.032520325203252,239.0,AdaBoostClassifier,tfidf
cleaning,0.9910714285714286,0.6453488372093024,0.7816901408450704,172.0,AdaBoostClassifier,tfidf
coffee,0.9647058823529412,0.8282828282828283,0.8913043478260869,198.0,AdaBoostClassifier,tfidf
convert,0.0,0.0,0.0,97.0,AdaBoostClassifier,tfidf
createoradd,0.1162790697674418,0.1530612244897959,0.13215859030837,294.0,AdaBoostClassifier,tfidf
currency,0.0,0.0,0.0,378.0,AdaBoostClassifier,tfidf
definition,0.0,0.0,0.0,504.0,AdaBoostClassifier,tfidf
dislikeness,0.0259740259740259,0.08,0.0392156862745098,25.0,AdaBoostClassifier,tfidf
events,0.0,0.0,0.0,322.0,AdaBoostClassifier,tfidf
factoid,0.0,0.0,0.0,1052.0,AdaBoostClassifier,tfidf
game,0.0,0.0,0.0,234.0,AdaBoostClassifier,tfidf
greet,0.0,0.0,0.0,24.0,AdaBoostClassifier,tfidf
hue_lightchange,0.3466666666666667,0.3482142857142857,0.3474387527839643,224.0,AdaBoostClassifier,tfidf
hue_lightdim,0.3269230769230769,0.1349206349206349,0.1910112359550561,126.0,AdaBoostClassifier,tfidf
hue_lightoff,0.6426426426426426,0.8699186991869918,0.7392055267702936,246.0,AdaBoostClassifier,tfidf
hue_lighton,0.0,0.0,0.0,38.0,AdaBoostClassifier,tfidf
hue_lightup,0.0,0.0,0.0,142.0,AdaBoostClassifier,tfidf
joke,0.9705882352941176,0.8114754098360656,0.8839285714285714,122.0,AdaBoostClassifier,tfidf
likeness,0.2151162790697674,0.1813725490196078,0.1968085106382979,204.0,AdaBoostClassifier,tfidf
locations,0.0,0.0,0.0,256.0,AdaBoostClassifier,tfidf
maths,0.0,0.0,0.0,161.0,AdaBoostClassifier,tfidf
movies,0.0,0.0,0.0,112.0,AdaBoostClassifier,tfidf
music,0.578125,0.6156405990016639,0.5962933118452861,1202.0,AdaBoostClassifier,tfidf
order,0.6558441558441559,0.507537688442211,0.5722379603399435,199.0,AdaBoostClassifier,tfidf
podcasts,0.986842105263158,0.5952380952380952,0.7425742574257426,378.0,AdaBoostClassifier,tfidf
post,0.9565217391304348,0.0813308687615526,0.1499148211243611,541.0,AdaBoostClassifier,tfidf
query,0.3372205399136653,0.8795160477230718,0.4875186289120715,5951.0,AdaBoostClassifier,tfidf
querycontact,0.4742268041237113,0.2081447963800905,0.2893081761006289,221.0,AdaBoostClassifier,tfidf
quirky,0.0,0.0,0.0,1057.0,AdaBoostClassifier,tfidf
radio,0.9629629629629628,0.0945454545454545,0.1721854304635761,550.0,AdaBoostClassifier,tfidf
recipe,0.0,0.0,0.0,413.0,AdaBoostClassifier,tfidf
remove,0.8181818181818182,0.0091463414634146,0.0180904522613065,984.0,AdaBoostClassifier,tfidf
sendemail,0.6309067688378033,0.7169811320754716,0.671195652173913,689.0,AdaBoostClassifier,tfidf
set,0.3333333333333333,0.0005770340450086,0.0011520737327188,1733.0,AdaBoostClassifier,tfidf
settings,0.0,0.0,0.0,80.0,AdaBoostClassifier,tfidf
stock,0.9844559585492229,0.7037037037037037,0.8207343412526997,270.0,AdaBoostClassifier,tfidf
taxi,0.9649122807017544,0.2989130434782608,0.4564315352697095,184.0,AdaBoostClassifier,tfidf
ticket,0.819047619047619,0.7196652719665272,0.7661469933184855,239.0,AdaBoostClassifier,tfidf
traffic,0.9691358024691358,0.785,0.867403314917127,200.0,AdaBoostClassifier,tfidf
volume_down,0.0,0.0,0.0,76.0,AdaBoostClassifier,tfidf
volume_mute,0.6666666666666666,0.0122699386503067,0.0240963855421686,163.0,AdaBoostClassifier,tfidf
volume_other,0.0,0.0,0.0,24.0,AdaBoostClassifier,tfidf
volume_up,0.5059523809523809,0.5902777777777778,0.5448717948717949,144.0,AdaBoostClassifier,tfidf
wemo_off,0.9743589743589745,0.3877551020408163,0.5547445255474452,98.0,AdaBoostClassifier,tfidf
wemo_on,0.7368421052631579,0.35,0.4745762711864406,80.0,AdaBoostClassifier,tfidf
addcontact,0.7575757575757576,0.5617977528089888,0.6451612903225806,89.0,KNeighborsClassifier,tfidf
audiobook,0.9333333333333332,0.5271966527196653,0.6737967914438503,239.0,KNeighborsClassifier,tfidf
cleaning,0.9025974025974026,0.8081395348837209,0.852760736196319,172.0,KNeighborsClassifier,tfidf
coffee,0.8663366336633663,0.8838383838383839,0.8749999999999999,198.0,KNeighborsClassifier,tfidf
convert,0.0,0.0,0.0,97.0,KNeighborsClassifier,tfidf
createoradd,0.7052980132450332,0.7244897959183674,0.714765100671141,294.0,KNeighborsClassifier,tfidf
currency,0.8293269230769231,0.9126984126984128,0.8690176322418136,378.0,KNeighborsClassifier,tfidf
definition,0.8818443804034583,0.6071428571428571,0.719153936545241,504.0,KNeighborsClassifier,tfidf
dislikeness,0.0,0.0,0.0,25.0,KNeighborsClassifier,tfidf
events,0.5476190476190477,0.1428571428571428,0.2266009852216748,322.0,KNeighborsClassifier,tfidf
factoid,0.8055555555555556,0.1653992395437262,0.2744479495268139,1052.0,KNeighborsClassifier,tfidf
game,0.872,0.4658119658119658,0.607242339832869,234.0,KNeighborsClassifier,tfidf
greet,0.0,0.0,0.0,24.0,KNeighborsClassifier,tfidf
hue_lightchange,0.7427184466019418,0.6830357142857143,0.7116279069767442,224.0,KNeighborsClassifier,tfidf
hue_lightdim,0.7682926829268293,0.5,0.6057692307692307,126.0,KNeighborsClassifier,tfidf
hue_lightoff,0.5,0.943089430894309,0.6535211267605634,246.0,KNeighborsClassifier,tfidf
hue_lighton,0.0,0.0,0.0,38.0,KNeighborsClassifier,tfidf
hue_lightup,0.8888888888888888,0.3943661971830985,0.5463414634146341,142.0,KNeighborsClassifier,tfidf
joke,0.967032967032967,0.7213114754098361,0.8262910798122066,122.0,KNeighborsClassifier,tfidf
likeness,0.8235294117647058,0.2058823529411764,0.3294117647058823,204.0,KNeighborsClassifier,tfidf
locations,0.7160493827160493,0.2265625,0.344213649851632,256.0,KNeighborsClassifier,tfidf
maths,0.8620689655172413,0.3105590062111801,0.45662100456621,161.0,KNeighborsClassifier,tfidf
movies,0.5675675675675675,0.1875,0.2818791946308724,112.0,KNeighborsClassifier,tfidf
music,0.6619537275064268,0.8569051580698835,0.7469180565627267,1202.0,KNeighborsClassifier,tfidf
order,0.828125,0.5326633165829145,0.6483180428134557,199.0,KNeighborsClassifier,tfidf
podcasts,0.9320388349514565,0.7619047619047619,0.8384279475982533,378.0,KNeighborsClassifier,tfidf
post,0.9250645994832042,0.6617375231053605,0.7715517241379312,541.0,KNeighborsClassifier,tfidf
query,0.5461633155519081,0.8946395563770795,0.6782597617682655,5951.0,KNeighborsClassifier,tfidf
querycontact,0.7323943661971831,0.2352941176470588,0.3561643835616438,221.0,KNeighborsClassifier,tfidf
quirky,0.4587155963302752,0.0473036896877956,0.0857632933104631,1057.0,KNeighborsClassifier,tfidf
radio,0.8088531187122736,0.730909090909091,0.7679083094555874,550.0,KNeighborsClassifier,tfidf
recipe,0.913793103448276,0.513317191283293,0.6573643410852714,413.0,KNeighborsClassifier,tfidf
remove,0.8956422018348624,0.7936991869918699,0.841594827586207,984.0,KNeighborsClassifier,tfidf
sendemail,0.7308707124010554,0.8040638606676342,0.7657221838286109,689.0,KNeighborsClassifier,tfidf
set,0.7753254102999434,0.790536641661858,0.7828571428571429,1733.0,KNeighborsClassifier,tfidf
settings,0.5,0.0125,0.024390243902439,80.0,KNeighborsClassifier,tfidf
stock,0.932367149758454,0.7148148148148148,0.8092243186582808,270.0,KNeighborsClassifier,tfidf
taxi,0.9342105263157896,0.7717391304347826,0.8452380952380952,184.0,KNeighborsClassifier,tfidf
ticket,0.76171875,0.8158995815899581,0.7878787878787878,239.0,KNeighborsClassifier,tfidf
traffic,0.954954954954955,0.53,0.6816720257234727,200.0,KNeighborsClassifier,tfidf
volume_down,0.7586206896551724,0.2894736842105263,0.419047619047619,76.0,KNeighborsClassifier,tfidf
volume_mute,0.96875,0.3803680981595092,0.5462555066079295,163.0,KNeighborsClassifier,tfidf
volume_other,0.0,0.0,0.0,24.0,KNeighborsClassifier,tfidf
volume_up,0.6477987421383647,0.7152777777777778,0.6798679867986799,144.0,KNeighborsClassifier,tfidf
wemo_off,0.6324786324786325,0.7551020408163265,0.6883720930232557,98.0,KNeighborsClassifier,tfidf
wemo_on,0.782608695652174,0.225,0.3495145631067961,80.0,KNeighborsClassifier,tfidf
addcontact,0.8153846153846154,0.5955056179775281,0.6883116883116883,89.0,SVC,tfidf
audiobook,0.934640522875817,0.5983263598326359,0.7295918367346939,239.0,SVC,tfidf
cleaning,0.9863945578231292,0.8430232558139535,0.9090909090909092,172.0,SVC,tfidf
coffee,0.9825581395348836,0.8535353535353535,0.9135135135135136,198.0,SVC,tfidf
convert,0.9166666666666666,0.4536082474226804,0.6068965517241379,97.0,SVC,tfidf
createoradd,0.6187845303867403,0.7619047619047619,0.6829268292682926,294.0,SVC,tfidf
currency,0.957983193277311,0.9047619047619048,0.9306122448979592,378.0,SVC,tfidf
definition,0.9224598930481284,0.6845238095238095,0.785876993166287,504.0,SVC,tfidf
dislikeness,0.8571428571428571,0.24,0.375,25.0,SVC,tfidf
events,0.8813559322033898,0.484472049689441,0.625250501002004,322.0,SVC,tfidf
factoid,0.7315436241610739,0.6216730038022814,0.6721479958890032,1052.0,SVC,tfidf
game,0.935251798561151,0.5555555555555556,0.6970509383378016,234.0,SVC,tfidf
greet,0.5,0.0833333333333333,0.1428571428571428,24.0,SVC,tfidf
hue_lightchange,0.8532110091743119,0.8303571428571429,0.8416289592760182,224.0,SVC,tfidf
hue_lightdim,0.9803921568627452,0.7936507936507936,0.8771929824561403,126.0,SVC,tfidf
hue_lightoff,0.8930041152263375,0.8821138211382114,0.8875255623721882,246.0,SVC,tfidf
hue_lighton,0.8260869565217391,0.5,0.6229508196721311,38.0,SVC,tfidf
hue_lightup,0.943089430894309,0.8169014084507042,0.8754716981132076,142.0,SVC,tfidf
joke,0.9818181818181818,0.8852459016393442,0.9310344827586208,122.0,SVC,tfidf
likeness,0.9065420560747663,0.4754901960784313,0.6237942122186495,204.0,SVC,tfidf
locations,0.8143712574850299,0.53125,0.6430260047281324,256.0,SVC,tfidf
maths,0.9607843137254902,0.6086956521739131,0.7452471482889734,161.0,SVC,tfidf
movies,0.8181818181818182,0.5625,0.6666666666666666,112.0,SVC,tfidf
music,0.7790956263899185,0.8743760399334443,0.8239905919247353,1202.0,SVC,tfidf
order,0.8613138686131386,0.592964824120603,0.7023809523809523,199.0,SVC,tfidf
podcasts,0.9870967741935484,0.8095238095238095,0.8895348837209303,378.0,SVC,tfidf
post,0.9136363636363636,0.7430683918669131,0.819571865443425,541.0,SVC,tfidf
query,0.6348603625673689,0.8709460594858007,0.7343960325894439,5951.0,SVC,tfidf
querycontact,0.795774647887324,0.5113122171945701,0.6225895316804407,221.0,SVC,tfidf
quirky,0.5073099415204678,0.3282876064333018,0.39862148190695,1057.0,SVC,tfidf
radio,0.93598233995585,0.7709090909090909,0.8454636091724825,550.0,SVC,tfidf
recipe,0.9379310344827586,0.6585956416464891,0.7738264580369845,413.0,SVC,tfidf
remove,0.989247311827957,0.8414634146341463,0.9093904448105437,984.0,SVC,tfidf
sendemail,0.6708428246013668,0.8548621190130624,0.7517549457562221,689.0,SVC,tfidf
set,0.9110696517412936,0.8453548759376803,0.8769829392397486,1733.0,SVC,tfidf
settings,0.7906976744186046,0.425,0.5528455284552846,80.0,SVC,tfidf
stock,0.9808612440191388,0.7592592592592593,0.8559498956158664,270.0,SVC,tfidf
taxi,0.9937106918238994,0.8586956521739131,0.9212827988338192,184.0,SVC,tfidf
ticket,0.8407079646017699,0.7949790794979079,0.8172043010752688,239.0,SVC,tfidf
traffic,0.9698795180722892,0.805,0.8797814207650274,200.0,SVC,tfidf
volume_down,0.8888888888888888,0.7368421052631579,0.8057553956834532,76.0,SVC,tfidf
volume_mute,0.9516129032258064,0.7239263803680982,0.8222996515679443,163.0,SVC,tfidf
volume_other,0.75,0.375,0.5,24.0,SVC,tfidf
volume_up,0.8780487804878049,0.75,0.8089887640449439,144.0,SVC,tfidf
wemo_off,0.9294117647058824,0.8061224489795918,0.8633879781420767,98.0,SVC,tfidf
wemo_on,0.9516129032258064,0.7375,0.8309859154929577,80.0,SVC,tfidf
addcontact,0.875,0.4719101123595505,0.6131386861313869,89.0,LogisticRegression,tfidf
audiobook,0.935897435897436,0.6160337552742616,0.7430025445292621,237.0,LogisticRegression,tfidf
cleaning,0.9857142857142858,0.8023255813953488,0.8846153846153846,172.0,LogisticRegression,tfidf
coffee,0.9883040935672516,0.8578680203045685,0.9184782608695652,197.0,LogisticRegression,tfidf
convert,1.0,0.1752577319587628,0.2982456140350877,97.0,LogisticRegression,tfidf
createoradd,0.7474747474747475,0.757679180887372,0.7525423728813558,293.0,LogisticRegression,tfidf
currency,0.957983193277311,0.9047619047619048,0.9306122448979592,378.0,LogisticRegression,tfidf
definition,0.9168975069252078,0.6755102040816326,0.7779083431257344,490.0,LogisticRegression,tfidf
dislikeness,0.0,0.0,0.0,25.0,LogisticRegression,tfidf
events,0.8324022346368715,0.4685534591194968,0.5995975855130784,318.0,LogisticRegression,tfidf
factoid,0.689010989010989,0.6017274472168906,0.6424180327868853,1042.0,LogisticRegression,tfidf
game,0.9523809523809524,0.5172413793103449,0.6703910614525139,232.0,LogisticRegression,tfidf
greet,0.0,0.0,0.0,21.0,LogisticRegression,tfidf
hue_lightchange,0.8737864077669902,0.8071748878923767,0.8391608391608392,223.0,LogisticRegression,tfidf
hue_lightdim,0.9607843137254902,0.784,0.8634361233480177,125.0,LogisticRegression,tfidf
hue_lightoff,0.8352490421455939,0.889795918367347,0.8616600790513835,245.0,LogisticRegression,tfidf
hue_lighton,0.9166666666666666,0.2894736842105263,0.4399999999999999,38.0,LogisticRegression,tfidf
hue_lightup,0.902439024390244,0.7872340425531915,0.8409090909090909,141.0,LogisticRegression,tfidf
joke,0.9791666666666666,0.7768595041322314,0.8663594470046082,121.0,LogisticRegression,tfidf
likeness,0.8191489361702128,0.385,0.5238095238095237,200.0,LogisticRegression,tfidf
locations,0.8417721518987342,0.51953125,0.6425120772946861,256.0,LogisticRegression,tfidf
